CVE_ESCUELA_ATENCION,NOM_ESCUELA_ATENCION,REF_TURNO_ATENCION,REF_CICLO_ESCOLAR,CLAVECCT,NOMBRE_INMUEBLE,NIVEL,alcaldia,longitud,latitud,NUM_MATRICULA_TOTAL_ESCUELA,registros_salud,prioridad_atencion,pct_incompleto,pct_no_asistio,pct_caries,casos_caries,registros_caries,pct_visual,casos_visual,registros_visual,pct_sobrepeso_obesidad,casos_sobrepeso_obesidad,registros_sobrepeso_obesidad,imc_promedio,registros_imc,pct_alertas_multiples,casos_alertas_multiples,registros_alertas_multiples,alertas_promedio,completitud,casos_completos,registros_completitud
09DPR5063H,TLALOC,MATUTINO,2025-2026,09DPR5063H,TLALOC,Primaria,IZTAPALAPA,-99.05151944,19.36743889,417,213,39.6244,0,0,91.5493,195,213,59.1549,126,213,47.4178,101,213,19.3406,212,74.1784,158,213,1.9812,100,213,213
09DPR1271N,JOSÉ MARIANO JIMÉNEZ,MATUTINO,2025-2026,09DPR1273L,JOSÉ MARIANO JIMÉNEZ,Primaria,IZTAPALAPA,-99.04294167,19.34623889,394,275,39.5636,0.7273,0,65.0909,179,275,82.5455,227,275,49.4545,136,275,19.3974,268,76,209,275,1.9782,99.2727,273,275
09DPR2829Z,EJERCITO DE ORIENTE,VESPERTINO,2024-2025 | 2025-2026,09DPR2829Z,EJERCITO DE ORIENTE,Primaria,IZTAPALAPA,-99.02777778,19.36786389,153,64,39.375,0,0,71.875,46,64,87.5,56,64,37.5,24,64,18.2844,64,75,48,64,1.9688,100,64,64
09DPR3023T,PROFR. EMILIANO NEGRETE LÓPEZ,VESPERTINO,2024-2025 | 2025-2026,09DPR3023T,PROFR. EMILIANO NEGRETE LÓPEZ,Primaria,IZTAPALAPA,-99.02243611,19.34180556,231,150,39.3333,0.6667,0,68.6667,103,150,75.3333,113,150,52,78,150,19.1322,149,70.6667,106,150,1.9667,99.3333,149,150
09DPR5077K,WENCESLAO VICTORIA SOTO,MATUTINO,2024-2025 | 2025-2026,09DES0340F,WENCESLAO VICTORIA SOTO,Secundaria,GUSTAVO A. MADERO,-99.12645,19.54914167,597,600,39.3333,10,0,65.6667,394,600,84.1667,505,600,36.8333,221,600,19.4952,539,73,438,600,1.9667,90,540,600
09DPR2806O,LIC. JOSÉ MA. LAFRAGUA,VESPERTINO,2025-2026,09DPR2806O,LIC. JOSÉ MA. LAFRAGUA,Primaria,IZTAPALAPA,-99.01598889,19.3567,170,119,39.1597,2.521,0,72.2689,86,119,87.395,104,119,33.6134,40,119,18.4292,113,74.7899,89,119,1.958,97.479,116,119
09DPR1013Z,U. R. S. S.,MATUTINO,2024-2025 | 2025-2026,09DPR1013Z,U. R. S. S.,Primaria,IZTAPALAPA,-99.05733333,19.39363333,355,256,39.1406,1.5625,0,49.2188,126,256,78.9062,202,256,66.0156,169,256,21.1524,250,73.0469,187,256,1.957,98.4375,252,256
09DPR0051V,GENARO GARCÍA,MATUTINO,2024-2025 | 2025-2026,09DPR0051V,GENARO GARCÍA,Primaria,IZTAPALAPA,-99.073425,19.31105278,510,364,39.011,1.9231,0,67.3077,245,364,75.2747,274,364,50.5495,184,364,19.4451,350,71.4286,260,364,1.9505,98.0769,357,364
09DPR2531Q,ANIBAL PONCE,MATUTINO,2024-2025 | 2025-2026,09DPR2531Q,ANIBAL PONCE,Primaria,IZTAPALAPA,-99.01913611,19.336425,489,268,38.9552,0.7463,0,69.0299,185,268,78.7313,211,268,46.2687,124,268,18.9761,264,76.4925,205,268,1.9478,99.2537,266,268
09DPR2111G,JUAN RODRÍGUEZ PUEBLA,VESPERTINO,2024-2025 | 2025-2026,09DPR2111G,JUAN RODRÍGUEZ PUEBLA,Primaria,IZTAPALAPA,-99.01573333,19.37775833,208,157,38.8535,0,0,68.7898,108,157,80.8917,127,157,44.586,70,157,18.7605,157,74.5223,117,157,1.9427,100,157,157
