CVE_ESCUELA_ATENCION,NOM_ESCUELA_ATENCION,REF_TURNO_ATENCION,REF_CICLO_ESCOLAR,prioridad_atencion,pct_incompleto,pct_caries,pct_visual,pct_sobrepeso_obesidad,imc_promedio,NUM_MATRICULA_TOTAL_ESCUELA_x,alertas_promedio,NUM_MATRICULA_TOTAL_ESCUELA_y,CLAVECCT,NOMBRE,longitud,latitud,alcaldia,NIVEL,completitud
09DPR2531Q,ANIBAL PONCE,MATUTINO,2024-2025 | 2025-2026,38.9552,0.7463,69.0299,78.7313,46.2687,18.9761,489.0,76.4925,489,09DPR2531Q,ANIBAL PONCE,-99.01913611,19.336425,IZTAPALAPA,Primaria,99.2537
09DPR2111G,JUAN RODRÍGUEZ PUEBLA,VESPERTINO,2024-2025 | 2025-2026,38.8535,0.0,68.7898,80.8917,44.586,18.7605,208.0,74.5223,208,09DPR2111G,JUAN RODRÍGUEZ PUEBLA,-99.01573333,19.37775833,IZTAPALAPA,Primaria,100.0
09DPR2466G,LEANDRO VALLE,VESPERTINO,2025-2026,38.8,0.0,81.3333,66.6667,46.0,18.7427,248.0,72.0,248,09DPR2466G,LEANDRO VALLE,-99.07012222,19.37734722,IZTAPALAPA,Primaria,100.0
09DPR1603M,ING. GUILLERMO GONZÁLEZ CAMARENA,VESPERTINO,2024-2025,38.6792,29.2453,63.2075,65.0943,35.8491,19.7267,121.0,66.0377,121,09DPR1603M,ING. GUILLERMO GONZÁLEZ CAMARENA,-99.18090556,19.48493611,AZCAPOTZALCO,Primaria,70.7547
09DPR2948M,MIGUEL DE CERVANTES SAAVEDRA,MATUTINO,2024-2025 | 2025-2026,38.662,1.4085,55.6338,85.5634,50.7042,26.1822,390.0,72.5352,390,09PPR0996N,MIGUEL DE CERVANTES SAAVEDRA,-99.081795,19.484407,GUSTAVO A. MADERO,Primaria,98.5915
09DPR2817U,PROFR. JOSÉ ROMERO Y FUENTES,MATUTINO,2024-2025 | 2025-2026,38.5204,4.5918,61.2245,79.0816,47.7041,19.044,617.0,71.6837,617,09DPR2643U,PROFR. JOSÉ ROMERO Y FUENTES,-99.06552222,19.31951944,IZTAPALAPA,Primaria,95.4082
09DPR0954J,AMERICAS UNIDAS,MATUTINO,2024-2025 | 2025-2026,38.481,8.2278,56.962,86.0759,41.1392,19.5806,169.0,72.1519,169,09DPR0954J,AMERICAS UNIDAS,-99.096275,19.44256389,VENUSTIANO CARRANZA,Primaria,91.7722
09DPR5071Q,CARLOS ENRIQUE NERI GUZMÁN,VESPERTINO,2024-2025 | 2025-2026,38.4431,0.5988,73.0539,71.8563,46.7066,19.2098,266.0,68.8623,266,09DPR5072P,CARLOS ENRIQUE NERI GUZMÁN,-99.052025,19.37943333,IZTAPALAPA,Primaria,99.4012
09DPR3024S,ANIBAL PONCE,VESPERTINO,2024-2025 | 2025-2026,38.4286,9.2857,71.4286,67.1429,44.2857,19.2587,310.0,72.8571,310,09DPR2531Q,ANIBAL PONCE,-99.01913611,19.336425,IZTAPALAPA,Primaria,90.7143
09DPR1452X,TURQUIA,MATUTINO,2024-2025 | 2025-2026,38.3237,18.2081,64.7399,71.9653,36.7052,,,69.3642,371,09DPR1452X,TURQUIA,-99.09619444,19.45628056,GUSTAVO A. MADERO,Primaria,81.7919
09DPR1604L,ING. GUILLERMO GONZÁLEZ CAMARENA,MATUTINO,2024-2025,38.3108,24.6622,64.527,68.5811,33.7838,18.9413,302.0,66.8919,302,09DPR1603M,ING. GUILLERMO GONZÁLEZ CAMARENA,-99.18090556,19.48493611,AZCAPOTZALCO,Primaria,75.3378
09DPR1293Z,GUSTAVO A. MADERO,MATUTINO,2024-2025 | 2025-2026,38.2895,0.0,59.8684,84.8684,46.7105,19.155,194.0,74.3421,194,09DES0259E,GUSTAVO A. MADERO,-99.139525,19.52373611,GUSTAVO A. MADERO,Secundaria,100.0
09DPR1216U,ING. ROBERTO GAYOL,MATUTINO,2024-2025 | 2025-2026,38.1991,1.8957,58.7678,82.9384,47.3934,19.0271,510.0,72.5118,510,09DPR1216U,ING. ROBERTO GAYOL,-99.07088333,19.31037778,IZTAPALAPA,Primaria,98.1043
09DPR3074Z,LEANDRO VALLE,MATUTINO,2024-2025 | 2025-2026,38.1203,1.1278,68.797,65.0376,55.6391,19.8878,473.0,70.3008,473,09DPR2466G,LEANDRO VALLE,-99.07012222,19.37734722,IZTAPALAPA,Primaria,98.8722
09DPR1464B,PROFR. TEODORO MONTIEL,MATUTINO,2024-2025 | 2025-2026,38.0952,19.0476,64.881,71.4286,35.119,,,67.8571,200,09DPR1464B,PROFR. TEODORO MONTIEL,-99.11545556,19.48076944,GUSTAVO A. MADERO,Primaria,80.9524
09DPR1330M,CUAUHTÉMOC,VESPERTINO,2025-2026,38.0769,1.9231,72.4359,69.8718,46.1538,18.8874,251.0,69.8718,251,09DES0319C,CUAUHTÉMOC,-99.06195278,19.32543056,IZTAPALAPA,Secundaria,98.0769
09DPR4182O,JULIO CORTAZAR,MATUTINO,2024-2025 | 2025-2026,38.0749,0.0,68.4492,77.5401,44.385,18.8471,296.0,73.7968,296,09DBS0048D,JULIO CORTAZAR,-99.03822222,19.38457778,IZTAPALAPA,Adultos - Secundaria,100.0
09DPR3152N,ADOLFO CISNEROS CAMARA,MATUTINO,2024-2025 | 2025-2026,38.0672,0.4202,61.3445,76.4706,52.1008,19.5523,326.0,70.1681,326,09DPR3152N,ADOLFO CISNEROS CAMARA,-99.0708,19.37623889,IZTAPALAPA,Primaria,99.5798
09DPR0056Q,JESÚS NARVAEZ GALDEANO,MATUTINO,2024-2025 | 2025-2026,38.0328,0.2732,61.7486,77.0492,51.0929,19.2718,594.0,70.765,594,09DPR0056Q,JESÚS NARVAEZ GALDEANO,-99.05834167,19.32968889,IZTAPALAPA,Primaria,99.7268
09DPR3235W,PROFRA. ELISA ACUÑA Y ROSSETTI,MATUTINO,2025-2026,37.9518,0.0,67.1687,76.2048,46.3855,19.0244,515.0,67.7711,515,09DPR3236V,PROFRA. ELISA ACUÑA Y ROSSETTI,-99.00428611,19.35111111,IZTAPALAPA,Primaria,100.0
09DPR2110H,LEOPOLDO KIEL,VESPERTINO,2024-2025 | 2025-2026,37.9487,1.7094,64.9573,80.3419,42.735,18.9913,230.0,69.2308,230,09DPR2109S,LEOPOLDO KIEL,-99.04111111,19.39029722,IZTAPALAPA,Primaria,98.2906
09DPR5081X,MELCHOR OCAMPO,MATUTINO,2024-2025 | 2025-2026,37.931,0.9852,65.0246,73.8916,49.7537,20.0439,222.0,72.4138,222,09DPR5081X,MELCHOR OCAMPO,-98.99296667,19.34795278,IZTAPALAPA,Primaria,99.0148
09DPR1552W,MÁRTIRES DE URUAPAN,MATUTINO,2024-2025 | 2025-2026,37.9227,11.1111,64.0097,75.1208,39.372,18.7398,408.0,70.7729,408,09DPR1552W,MÁRTIRES DE URUAPAN,-99.17221667,19.52541389,GUSTAVO A. MADERO,Primaria,88.8889
09DPR1896Q,ENRIQUE RODRÍGUEZ CANO,MATUTINO,2024-2025 | 2025-2026,37.8947,1.2531,54.6366,88.9724,44.6115,,,70.1754,474,09DPR1896Q,ENRIQUE RODRÍGUEZ CANO,-99.24500556,19.29744167,LA MAGDALENA CONTRERAS,Primaria,98.7469
09DPR4157P,PROFR. EFRAIN BONILLA MANZANO,VESPERTINO,2025-2026,37.8723,1.0638,81.9149,64.8936,41.4894,19.4378,123.0,73.4043,123,09DPR4157P,PROFR. EFRAIN BONILLA MANZANO,-99.01038056,19.36241111,IZTAPALAPA,Primaria,98.9362
09DPR0979S,EMPERADOR ITZCOATL,MATUTINO,2024-2025 | 2025-2026,37.8431,0.9804,57.1895,86.2745,44.7712,18.7257,506.0,72.549,506,09DPR0980H,EMPERADOR ITZCOATL,-99.03611389,19.37771389,IZTAPALAPA,Primaria,99.0196
09DPR2568D,FRAY BARTOLOMÉ DE LAS CASAS,VESPERTINO,2024-2025 | 2025-2026,37.8182,10.9091,74.5455,67.2727,36.3636,18.702,150.0,74.5455,150,09DPR2568D,FRAY BARTOLOMÉ DE LAS CASAS,-99.11003333,19.37703056,IZTAPALAPA,Primaria,89.0909
09DPR1385P,LUIS ENRIQUE ERRO,MATUTINO,2024-2025 | 2025-2026,37.807,23.2456,57.4561,69.7368,38.5965,19.9206,184.0,64.9123,184,09DPR1385P,LUIS ENRIQUE ERRO,-99.09908056,19.50542778,GUSTAVO A. MADERO,Primaria,76.7544
09DPR1029Z,ROBERTO LARA Y LÓPEZ,MATUTINO,2025-2026,37.7931,9.6552,54.4828,77.2414,47.5862,20.7565,153.0,67.5862,153,09DPR1029Z,ROBERTO LARA Y LÓPEZ,-99.09803611,19.444275,VENUSTIANO CARRANZA,Primaria,90.34479999999999
09DPR1086R,HÉROES DEL MOLINO DEL REY,MATUTINO,2024-2025 | 2025-2026,37.7381,0.2976,55.9524,83.3333,49.1071,19.7937,612.0,69.9405,612,09DBS0049C,HEROES DEL MOLINO DEL REY,-99.052025,19.37943333,IZTAPALAPA,Adultos - Secundaria,99.7024
09DPR2643U,PROFR. JOSÉ ROMERO Y FUENTES,VESPERTINO,2024-2025 | 2025-2026,37.7273,0.3788,63.6364,73.4848,51.1364,19.651,440.0,70.8333,440,09DPR2643U,PROFR. JOSÉ ROMERO Y FUENTES,-99.06552222,19.31951944,IZTAPALAPA,Primaria,99.6212
